Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
最近よく見る餃子のやつ作ってたら今日が終わった,1208749,https://www.youtube.com/watch?v=oU--mjlJdZI,https://i.ytimg.com/vi/oU--mjlJdZI/hqdefault.jpg,2024-05-07T09:36:37Z,10,85
お前を一生、1人にはさせない,1205832,https://www.youtube.com/watch?v=giw8h0wwvyE,https://i.ytimg.com/vi/giw8h0wwvyE/hqdefault.jpg,2021-07-02T11:50:46Z,7,86
「桃太郎」5ヶ国語で逆翻訳したら全然めでたくない結末を迎えた,1192052,https://www.youtube.com/watch?v=OzumMn6Ttyk,https://i.ytimg.com/vi/OzumMn6Ttyk/hqdefault.jpg,2020-08-09T13:30:13Z,277,87
ラジオ体操第一を5か国語で逆翻訳してやったら関節が崩壊した,1173064,https://www.youtube.com/watch?v=6xNdM3mEgu4,https://i.ytimg.com/vi/6xNdM3mEgu4/hqdefault.jpg,2020-05-02T11:45:13Z,225,88
5人の中で1人だけ嘘をついています,1171944,https://www.youtube.com/watch?v=HUjsrECbUAY,https://i.ytimg.com/vi/HUjsrECbUAY/hqdefault.jpg,2021-06-14T12:00:12Z,27,89
「めざせポケモンマスター」5か国語で逆翻訳したら何も目指さなくなった,1166225,https://www.youtube.com/watch?v=JHOcEyx0FXE,https://i.ytimg.com/vi/JHOcEyx0FXE/hqdefault.jpg,2020-05-23T12:30:13Z,181,90
This is NIPPON「猫ミーム」,1158841,https://www.youtube.com/watch?v=hfbCcVhnWaw,https://i.ytimg.com/vi/hfbCcVhnWaw/hqdefault.jpg,2024-02-06T12:00:42Z,52,91
「メリーさんの電話」5ヶ国語で逆翻訳したら違う意味で怖い話になった,1156558,https://www.youtube.com/watch?v=RGOs5Xq7WME,https://i.ytimg.com/vi/RGOs5Xq7WME/hqdefault.jpg,2020-09-29T14:30:09Z,315,92
【フル】「愛♡スクリ〜ム！」5ヶ国語で逆翻訳したらとても勉強になった【ルビィちゃん！何が好き〜？】,1153446,https://www.youtube.com/watch?v=2d8-OBG22Xg,https://i.ytimg.com/vi/2d8-OBG22Xg/hqdefault.jpg,2025-05-28T12:08:55Z,54,93
This is NIPPON「ずんだもん」,1149236,https://www.youtube.com/watch?v=hK0xedf2Y9k,https://i.ytimg.com/vi/hK0xedf2Y9k/hqdefault.jpg,2024-03-26T12:00:41Z,60,94
