Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
アニメ【淡々と繰り替えされる素行】,4432454,https://www.youtube.com/watch?v=81flMOEkZbo,https://i.ytimg.com/vi/81flMOEkZbo/hqdefault.jpg,2019-09-29T09:11:17Z,136,51
このアニメのLINEスタンプの使い方,4366022,https://www.youtube.com/watch?v=Ph07gtdDSd0,https://i.ytimg.com/vi/Ph07gtdDSd0/hqdefault.jpg,2020-04-01T09:00:11Z,116,52
【アニメ】全然上手くいかないラップバトル,4356267,https://www.youtube.com/watch?v=R4su6qSuIKY,https://i.ytimg.com/vi/R4su6qSuIKY/hqdefault.jpg,2020-06-28T10:00:31Z,128,53
【アニメ】「あはれ！名作くん」をボコボコにしてやりました,4301156,https://www.youtube.com/watch?v=r-ilKAAxj6E,https://i.ytimg.com/vi/r-ilKAAxj6E/hqdefault.jpg,2021-10-15T10:00:23Z,220,54
勇者の剣を僧侶が抜いた,4259114,https://www.youtube.com/watch?v=-5bFFh6oRgY,https://i.ytimg.com/vi/-5bFFh6oRgY/hqdefault.jpg,2022-01-24T10:00:00Z,191,55
10分耐える事ができない胃もたれするラジオ【質問コーナー】,4247993,https://www.youtube.com/watch?v=fGeNn7XLiHw,https://i.ytimg.com/vi/fGeNn7XLiHw/hqdefault.jpg,2020-03-11T09:15:00Z,600,56
【アニメ】遭難で命の危機だけどそんな事よりプリケツ,4219709,https://www.youtube.com/watch?v=Wet7yyqGDxo,https://i.ytimg.com/vi/Wet7yyqGDxo/hqdefault.jpg,2021-02-27T10:00:09Z,156,57
【アニメ】Fランなのに裏口入学する,4209249,https://www.youtube.com/watch?v=X6EYaAWTw9s,https://i.ytimg.com/vi/X6EYaAWTw9s/hqdefault.jpg,2021-09-07T10:00:30Z,171,58
固定観念をブチ壊すアニメ,4196317,https://www.youtube.com/watch?v=VcPneuaLnhk,https://i.ytimg.com/vi/VcPneuaLnhk/hqdefault.jpg,2020-10-24T10:00:09Z,118,59
とち狂ってるアニメ,4166073,https://www.youtube.com/watch?v=GKT5w2fdXyE,https://i.ytimg.com/vi/GKT5w2fdXyE/hqdefault.jpg,2020-11-22T10:00:03Z,125,60
電車の中で見るべきアニメ,4152131,https://www.youtube.com/watch?v=kzSpz6SBCmg,https://i.ytimg.com/vi/kzSpz6SBCmg/hqdefault.jpg,2020-09-13T11:00:09Z,109,61
【アニメ】合コンにおもんない奴来た,4146641,https://www.youtube.com/watch?v=zau_vBQwd4Q,https://i.ytimg.com/vi/zau_vBQwd4Q/hqdefault.jpg,2021-02-16T10:00:31Z,160,62
【マツオノアニメ】面白シーン集　※未来,4138812,https://www.youtube.com/watch?v=SwpJQAMW_Mc,https://i.ytimg.com/vi/SwpJQAMW_Mc/hqdefault.jpg,2020-04-09T10:00:15Z,160,63
【謎展開アニメ】バンジーが怖くて飛べないので時間を潰します【実写チャンネル爆誕】,4110987,https://www.youtube.com/watch?v=uwBdMl1XRPQ,https://i.ytimg.com/vi/uwBdMl1XRPQ/hqdefault.jpg,2020-03-02T09:30:04Z,99,64
【アニメ】煩悩しかないお坊さん,4100826,https://www.youtube.com/watch?v=wZ9F-w8bE-s,https://i.ytimg.com/vi/wZ9F-w8bE-s/hqdefault.jpg,2021-10-19T10:00:21Z,758,65
【アニメ】元彼と新しい彼女のデートを邪魔する方法,4088902,https://www.youtube.com/watch?v=XbaphZzh2eU,https://i.ytimg.com/vi/XbaphZzh2eU/hqdefault.jpg,2020-05-10T10:15:00Z,170,66
